date,symbol,entry_time,entry_price,exit_time,exit_price,shares,pnl,pnl_pct,exit_reason,hold_minutes,box_top,box_bottom,box_range,rsi_at_entry,bar_volume_at_entry
2026-01-02,CCL,2026-01-02 15:22:00+00:00,30.41,2026-01-02 16:12:00+00:00,30.88,686,322.42,1.5455,midbox_target,50.0,31.45,30.27,1.18,31.6,46196.0
2026-01-05,TEVA,2026-01-05 15:10:00+00:00,30.57,2026-01-05 20:45:00+00:00,30.95,792,300.96,1.243,time_stop,335.0,31.73,30.47,1.26,26.7,29904.0
2026-01-05,LYFT,2026-01-05 17:36:00+00:00,19.12,2026-01-05 20:45:00+00:00,19.3,975,175.5,0.9414,time_stop,189.0,19.96,19.01,0.95,21.6,85601.0
2026-01-05,HPE,2026-01-05 15:01:00+00:00,23.87,2026-01-05 15:29:00+00:00,24.16,773,224.17,1.2149,midbox_target,28.0,24.53,23.73,0.8,31.0,29769.0
2026-01-06,KO,2026-01-06 15:57:00+00:00,67.78,2026-01-06 20:45:00+00:00,67.84,401,24.06,0.0885,time_stop,288.0,70.24,67.62,2.62,30.3,47497.0
2026-01-06,VZ,2026-01-06 15:15:00+00:00,40.05,2026-01-06 20:45:00+00:00,40.2,477,71.55,0.3745,time_stop,330.0,40.96,39.83,1.13,34.0,82456.0
2026-01-07,KO,2026-01-07 18:35:00+00:00,67.36,2026-01-07 20:45:00+00:00,67.47,469,51.59,0.1633,time_stop,130.0,70.16,67.27,2.89,28.1,40756.0
2026-01-08,LYFT,2026-01-08 19:05:00+00:00,19.17,2026-01-08 20:45:00+00:00,19.42,784,196.0,1.3041,time_stop,100.0,20.15,19.01,1.14,28.8,14040.0
2026-01-08,WBD,2026-01-08 15:30:00+00:00,28.11,2026-01-08 17:08:00+00:00,28.49,998,379.24,1.3518,midbox_target,98.0,28.92,28.05,0.87,20.7,441811.0
2026-01-08,PYPL,2026-01-08 16:11:00+00:00,58.15,2026-01-08 17:34:00+00:00,58.91,253,192.28,1.307,midbox_target,83.0,60.14,57.65,2.49,34.2,22633.0
2026-01-12,WBD,2026-01-12 15:25:00+00:00,28.29,2026-01-12 20:45:00+00:00,28.44,525,78.75,0.5302,time_stop,320.0,29.04,28.05,0.99,24.9,95817.0
2026-01-13,KEY,2026-01-13 19:04:00+00:00,20.98,2026-01-13 20:45:00+00:00,20.82,729,-116.64,-0.7626,time_stop,101.0,21.75,20.81,0.94,33.0,32874.0
2026-01-13,TFC,2026-01-13 19:11:00+00:00,49.88,2026-01-13 20:45:00+00:00,49.54,308,-104.72,-0.6816,time_stop,94.0,51.52,49.48,2.04,26.1,10778.0
2026-01-13,BAC,2026-01-13 15:01:00+00:00,54.85,2026-01-13 20:45:00+00:00,54.32,243,-128.79,-0.9663,time_stop,344.0,56.81,54.3,2.51,30.7,115778.0
2026-01-14,GM,2026-01-14 15:45:00+00:00,81.84,2026-01-14 20:45:00+00:00,81.32,154,-80.08,-0.6354,time_stop,300.0,85.18,80.95,4.23,34.4,13009.0
2026-01-14,HPE,2026-01-14 19:16:00+00:00,21.94,2026-01-14 20:45:00+00:00,22.05,692,76.12,0.5014,time_stop,89.0,22.72,21.76,0.96,25.2,53531.0
2026-01-15,GM,2026-01-15 18:20:00+00:00,81.16,2026-01-15 20:45:00+00:00,80.68,209,-100.32,-0.5914,time_stop,145.0,84.41,80.61,3.8,28.5,4777.0
2026-01-16,GM,2026-01-16 15:03:00+00:00,80.56,2026-01-16 20:45:00+00:00,80.83,273,73.71,0.3352,time_stop,342.0,83.86,80.23,3.63,33.8,16383.0
2026-01-16,SOFI,2026-01-16 15:43:00+00:00,26.2,2026-01-16 17:41:00+00:00,26.64,488,214.72,1.6794,midbox_target,118.0,27.33,25.92,1.41,34.5,140330.0
2026-01-16,VZ,2026-01-16 16:44:00+00:00,39.02,2026-01-16 20:45:00+00:00,39.02,483,0,0,time_stop,241.0,40.06,38.8,1.26,27.0,80571.0
2026-01-19,SOFI,2026-01-16 15:43:00+00:00,26.2,2026-01-16 17:41:00+00:00,26.64,488,214.72,1.6794,midbox_target,118.0,27.33,25.92,1.41,34.5,140330.0
2026-01-20,UBER,2026-01-20 17:36:00+00:00,83.17,2026-01-20 20:45:00+00:00,83.2,162,4.86,0.0361,time_stop,189.0,86.35,82.35,4.0,32.5,31326.0
2026-01-21,UBER,2026-01-21 18:08:00+00:00,83.31,2026-01-21 18:33:00+00:00,84.44,145,163.85,1.3564,midbox_target,25.0,86.35,82.35,4.0,24.1,21952.0
2026-01-23,UBER,2026-01-23 18:18:00+00:00,82.17,2026-01-23 20:45:00+00:00,81.88,180,-52.2,-0.3529,time_stop,147.0,85.61,81.47,4.14,31.7,14088.0
2026-01-23,WFC,2026-01-23 15:43:00+00:00,86.71,2026-01-23 20:45:00+00:00,87.0,180,52.2,0.3344,time_stop,302.0,89.7,86.03,3.67,31.1,36255.0
2026-01-28,WBD,2026-01-28 15:17:00+00:00,27.94,2026-01-28 20:45:00+00:00,28.03,1253,112.77,0.3221,time_stop,328.0,28.7,27.92,0.78,33.9,82071.0
2026-01-28,USB,2026-01-28 18:01:00+00:00,55.61,2026-01-28 19:31:00+00:00,56.02,329,134.89,0.7373,midbox_target,90.0,56.7,55.28,1.42,33.8,15808.0
2026-01-29,JD,2026-01-29 15:54:00+00:00,28.91,2026-01-29 20:45:00+00:00,28.98,854,59.78,0.2421,time_stop,291.0,30.02,28.82,1.2,34.3,27314.0
2026-02-05,WBD,2026-02-05 15:09:00+00:00,26.86,2026-02-05 20:45:00+00:00,26.85,522,-5.22,-0.0372,time_stop,336.0,27.87,26.61,1.26,34.6,56033.0
2026-02-10,BAC,2026-02-10 18:34:00+00:00,54.8,2026-02-10 20:31:00+00:00,55.56,243,184.68,1.3869,midbox_target,117.0,56.87,54.25,2.62,26.6,219440.0
2026-02-10,TFC,2026-02-10 16:21:00+00:00,54.56,2026-02-10 20:45:00+00:00,55.12,362,202.72,1.0264,time_stop,264.0,56.2,54.28,1.92,13.0,13745.0
2026-02-11,TEVA,2026-02-11 15:25:00+00:00,34.02,2026-02-11 20:45:00+00:00,34.3,741,207.48,0.823,time_stop,320.0,35.27,33.92,1.35,23.3,29737.0
2026-02-11,USB,2026-02-11 18:17:00+00:00,59.19,2026-02-11 20:45:00+00:00,59.21,223,4.46,0.0338,time_stop,148.0,61.19,58.59,2.6,12.0,57997.0
2026-02-11,KEY,2026-02-11 18:51:00+00:00,22.45,2026-02-11 20:45:00+00:00,22.56,764,84.04,0.49,time_stop,114.0,23.35,22.3,1.05,26.9,23753.0
2026-02-11,TFC,2026-02-11 18:48:00+00:00,54.08,2026-02-11 20:45:00+00:00,54.28,476,95.2,0.3698,time_stop,117.0,56.2,53.93,2.27,26.8,15641.0
2026-02-13,TEVA,2026-02-13 17:27:00+00:00,33.83,2026-02-13 20:45:00+00:00,33.91,670,53.6,0.2365,time_stop,198.0,34.8,33.7,1.1,31.3,19072.0
2026-02-16,TEVA,2026-02-13 17:27:00+00:00,33.83,2026-02-13 20:45:00+00:00,33.91,670,53.6,0.2365,time_stop,198.0,34.8,33.7,1.1,31.3,19072.0
2026-02-17,PFE,2026-02-17 18:12:00+00:00,27.25,2026-02-17 20:45:00+00:00,27.42,676,114.92,0.6239,time_stop,153.0,27.94,27.09,0.85,32.6,72711.0
2026-02-19,JD,2026-02-19 18:03:00+00:00,27.18,2026-02-19 20:45:00+00:00,27.19,548,5.48,0.0368,time_stop,162.0,27.88,26.95,0.93,30.4,13388.0
2026-02-20,CCL,2026-02-20 17:21:00+00:00,31.73,2026-02-20 20:45:00+00:00,31.91,379,68.22,0.5673,time_stop,204.0,33.21,31.36,1.85,28.7,34808.0
2026-02-23,MRVL,2026-02-23 15:56:00+00:00,77.12,2026-02-23 20:45:00+00:00,77.13,139,1.39,0.013,time_stop,289.0,80.4,76.07,4.33,23.0,15109.0
2026-02-25,T,2026-02-25 19:00:00+00:00,27.83,2026-02-25 20:45:00+00:00,27.88,467,23.35,0.1797,time_stop,105.0,28.83,27.54,1.29,31.8,65231.0
2026-02-25,CMCSA,2026-02-25 18:24:00+00:00,30.94,2026-02-25 20:45:00+00:00,30.86,495,-39.6,-0.2586,time_stop,141.0,31.85,30.69,1.16,29.9,40099.0
2026-02-26,JD,2026-02-26 17:23:00+00:00,26.8,2026-02-26 20:45:00+00:00,26.93,759,98.67,0.4851,time_stop,202.0,27.63,26.67,0.96,31.1,39269.0
2026-03-03,CSCO,2026-03-03 15:29:00+00:00,77.63,2026-03-03 16:09:00+00:00,78.3,211,141.37,0.8631,midbox_target,40.0,79.53,77.07,2.46,30.5,52006.0
2026-03-05,SCHW,2026-03-05 19:18:00+00:00,94.28,2026-03-05 20:18:00+00:00,95.28,160,160.0,1.0607,midbox_target,60.0,96.99,93.5,3.49,33.2,19440.0
2026-03-10,SCHW,2026-03-10 14:10:00+00:00,92.89,2026-03-10 19:45:00+00:00,93.52,184,115.92,0.6782,time_stop,335.0,96.84,92.27,4.57,29.4,15161.0
2026-03-11,VZ,2026-03-11 14:30:00+00:00,50.18,2026-03-11 19:45:00+00:00,50.58,487,194.8,0.7971,time_stop,315.0,51.32,50.02,1.3,30.2,50867.0
2026-03-11,KO,2026-03-11 14:30:00+00:00,76.66,2026-03-11 15:47:00+00:00,77.43,289,222.53,1.0044,midbox_target,77.0,78.41,76.35,2.06,29.8,35699.0
2026-03-12,SCHW,2026-03-12 16:09:00+00:00,90.97,2026-03-12 19:45:00+00:00,91.3,216,71.28,0.3628,time_stop,216.0,95.27,90.5,4.77,34.1,7117.0
2026-03-12,ZM,2026-03-12 16:13:00+00:00,75.06,2026-03-12 19:45:00+00:00,75.3,325,78.0,0.3197,time_stop,212.0,78.24,74.82,3.42,20.3,4086.0
2026-03-12,UBER,2026-03-12 16:29:00+00:00,72.64,2026-03-12 19:45:00+00:00,72.84,188,37.6,0.2753,time_stop,196.0,75.85,71.94,3.91,30.2,34354.0
2026-03-16,DIS,2026-03-16 15:12:00+00:00,98.75,2026-03-16 19:45:00+00:00,98.82,255,17.85,0.0709,time_stop,273.0,102.24,98.46,3.78,33.9,33337.0
2026-03-18,TFC,2026-03-18 14:14:00+00:00,44.0,2026-03-18 19:45:00+00:00,43.95,435,-21.75,-0.1136,time_stop,331.0,45.43,43.76,1.67,30.3,41411.0
2026-03-19,KO,2026-03-19 14:52:00+00:00,75.59,2026-03-19 19:45:00+00:00,75.7,446,49.06,0.1455,time_stop,293.0,78.43,75.52,2.91,33.4,24028.0
2026-03-19,ZION,2026-03-19 14:30:00+00:00,52.78,2026-03-19 18:13:00+00:00,53.69,565,514.15,1.7241,midbox_target,223.0,54.69,52.69,2.0,34.4,3250.0
2026-03-19,VZ,2026-03-19 15:09:00+00:00,49.48,2026-03-19 19:45:00+00:00,49.55,245,17.15,0.1415,time_stop,276.0,51.67,48.91,2.76,30.2,173271.0
2026-03-25,SOFI,2026-03-25 15:18:00+00:00,16.71,2026-03-25 19:45:00+00:00,16.55,661,-105.76,-0.9575,time_stop,267.0,17.41,16.49,0.92,21.8,184550.0
2026-03-25,CMCSA,2026-03-25 15:09:00+00:00,28.81,2026-03-25 19:45:00+00:00,28.76,583,-29.15,-0.1736,time_stop,276.0,29.71,28.61,1.1,24.3,56326.0
2026-03-26,CMCSA,2026-03-26 16:01:00+00:00,28.82,2026-03-26 19:45:00+00:00,28.65,566,-96.22,-0.5899,time_stop,224.0,29.71,28.61,1.1,34.4,40187.0
2026-03-27,USB,2026-03-27 17:53:00+00:00,50.91,2026-03-27 19:45:00+00:00,50.65,301,-78.26,-0.5107,time_stop,112.0,52.95,50.5,2.45,28.6,21958.0
2026-03-27,WFC,2026-03-27 17:32:00+00:00,77.64,2026-03-27 19:45:00+00:00,76.98,170,-112.2,-0.8501,time_stop,133.0,80.79,76.85,3.94,33.7,10769.0
2026-03-27,KEY,2026-03-27 18:09:00+00:00,19.42,2026-03-27 19:45:00+00:00,19.39,1275,-38.25,-0.1545,time_stop,96.0,20.17,19.36,0.81,31.6,29208.0
2026-03-30,USB,2026-03-30 16:10:00+00:00,50.96,2026-03-30 19:45:00+00:00,50.68,280,-78.4,-0.5495,time_stop,215.0,52.78,50.5,2.28,29.5,22735.0
2026-03-30,TFC,2026-03-30 16:47:00+00:00,44.61,2026-03-30 19:45:00+00:00,44.58,285,-8.55,-0.0672,time_stop,178.0,46.1,44.13,1.97,26.8,8972.0
2026-03-30,WFC,2026-03-30 16:10:00+00:00,77.48,2026-03-30 19:45:00+00:00,76.72,145,-110.2,-0.9809,time_stop,215.0,80.79,76.49,4.3,30.9,9407.0
2026-03-31,T,2026-03-31 18:16:00+00:00,28.65,2026-03-31 19:45:00+00:00,28.7,761,38.05,0.1745,time_stop,89.0,29.37,28.53,0.84,26.1,55800.0
