symbol,date,scanner_time,float_m,gap_pct,group,nol2_pnl,l2_pnl,delta,nol2_trades,l2_trades,l2_impact
ACON,2026-01-06,07:00,0.7,6.9,study,0,0,0,0,0,none
ALMS,2026-01-06,07:00,66.3,0.1,study,3407,2138,-1269,4,3,"hurt:l2_bearish_exit,bid_stack_blocked"
ANPA,2026-01-06,07:00,12.5,2.3,study,-2730,-2730,0,2,2,none
AZI,2026-01-06,07:27,44.5,-1.0,study,783,-1551,-2334,4,3,"hurt:l2_bearish_exit,warmup_gate,bid_stack_active,bid_stack_blocked"
ELAB,2026-01-06,07:00,0.2,-4.2,study,0,0,0,0,0,neutral:warmup_gate
FLYX,2026-01-06,07:00,5.7,1.0,study,0,0,0,0,0,none
GWAV,2026-01-06,07:00,0.8,-1.4,study,0,0,0,0,0,none
IBIO,2026-01-06,07:46,27.1,-2.1,study,-1444,-1278,166,2,2,helped:l2_bearish_exit
MLEC,2026-01-06,07:00,0.7,-21.7,study,0,0,0,0,0,neutral:warmup_gate
OPTX,2026-01-06,07:00,6.0,19.9,study,-78,-78,0,2,2,neutral:bid_stack_blocked
ROLR,2026-01-06,07:00,3.6,-6.2,study,-1422,-1422,0,2,2,none
TNMG,2026-01-06,07:00,1.2,-0.7,study,0,0,0,0,0,none
VERO,2026-01-06,07:00,1.6,-9.1,study,0,0,0,0,0,none
ACON,2026-01-08,07:00,0.7,6.9,study,-2122,-2122,0,3,3,"neutral:bid_stack_active,bid_stack_blocked"
ELAB,2026-01-08,07:00,0.2,-4.2,study,0,0,0,0,0,none
FLYX,2026-01-08,07:00,5.7,1.0,study,473,-80,-553,1,1,"hurt:l2_bearish_exit,bid_stack_active"
IBIO,2026-01-08,07:00,27.1,-2.1,study,0,0,0,0,0,none
OPTX,2026-01-08,07:00,6.0,19.9,study,-223,-223,0,1,1,none
ALMS,2026-01-09,07:00,66.3,0.1,study,-1154,-744,410,2,1,helped:bid_stack_blocked
ANPA,2026-01-09,07:00,12.5,2.3,study,2088,5091,3003,2,2,helped:l2_bearish_exit
APVO,2026-01-09,07:00,0.9,-3.4,study,7622,7141,-481,1,1,hurt:l2_bearish_exit
AZI,2026-01-09,07:00,44.5,-1.0,study,0,0,0,0,0,none
ELAB,2026-01-09,07:00,0.2,-4.2,study,0,0,0,0,0,neutral:warmup_gate
FEED,2026-01-09,07:29,0.8,-3.8,study,0,0,0,0,0,none
IBIO,2026-01-09,07:00,27.1,-2.1,study,-267,-267,0,1,1,none
OPTX,2026-01-09,07:00,6.0,19.9,study,-1479,-613,866,4,4,helped:l2_bearish_exit
SHPH,2026-01-09,08:04,1.6,-4.0,study,-1033,-113,920,1,1,"helped:l2_bearish_exit,warmup_gate,bid_stack_blocked"
AKAN,2026-01-12,09:09,0.1,-3.8,scanner30,0,0,0,0,0,neutral:warmup_gate
BDSX,2026-01-12,07:00,3.7,2.7,scanner30,-45,1237,1282,6,5,"helped:l2_bearish_exit,bid_stack_active,bid_stack_blocked"
VOR,2026-01-12,08:23,7.2,3.0,scanner30,501,501,0,2,2,neutral:warmup_gate
FJET,2026-01-13,08:10,18.5,7.8,scanner30,-1263,-1263,0,2,2,none
PMAX,2026-01-13,07:00,1.2,-7.4,scanner30,-1098,-1098,0,1,1,none
SPRC,2026-01-13,07:02,0.4,-10.1,scanner30,0,0,0,0,0,neutral:bid_stack_blocked
BEEM,2026-01-14,07:00,18.0,0.6,scanner30,-900,-500,400,1,1,helped:l2_bearish_exit
HOVR,2026-01-14,09:30,29.4,3.1,scanner30,0,0,0,0,0,neutral:bid_stack_active
ROLR,2026-01-14,07:00,3.6,-6.2,study,1644,2490,846,5,5,"helped:l2_bearish_exit,warmup_gate,bid_stack_active,bid_stack_blocked"
AUID,2026-01-15,08:57,11.8,-3.6,scanner30,-1683,-1683,0,3,3,neutral:bid_stack_blocked
MTVA,2026-01-15,09:30,1.0,1.3,scanner30,0,0,0,0,0,none
OCUL,2026-01-15,07:00,215.5,22.7,scanner30,0,0,0,0,0,none
QMCO,2026-01-15,08:31,14.4,-2.4,scanner30,-1193,-1000,193,2,1,"helped:warmup_gate,bid_stack_active"
ACCL,2026-01-16,04:00,2.9,1.5,study,-1072,-1072,0,2,2,neutral:warmup_gate
ALMS,2026-01-16,07:00,66.3,0.1,study,0,0,0,0,0,neutral:bid_stack_blocked
AZI,2026-01-16,07:00,44.5,-1.0,study,0,0,0,0,0,none
BCTX,2026-01-16,07:00,1.7,6.7,study,0,0,0,0,0,none
BNAI,2026-01-16,07:00,3.3,-1.8,study,-674,-674,0,2,2,neutral:bid_stack_active
FEED,2026-01-16,07:00,0.8,-3.8,study,0,0,0,0,0,none
GWAV,2026-01-16,07:00,0.8,-1.4,study,6735,-907,-7642,2,2,"hurt:l2_bearish_exit,warmup_gate"
HIND,2026-01-16,07:00,1.5,-0.6,study,0,0,0,0,0,none
JFBR,2026-01-16,07:37,,-5.4,scanner30,0,0,0,0,0,neutral:bid_stack_active
LCFY,2026-01-16,07:00,1.4,-0.6,study,-627,-433,194,2,2,helped:l2_bearish_exit
OCG,2026-01-16,09:05,0.1,4.6,scanner30,0,0,0,0,0,none
PAVM,2026-01-16,07:00,0.7,-0.2,study,0,0,0,0,0,none
ROLR,2026-01-16,07:00,3.6,-6.2,study,-1228,1126,2354,3,3,"helped:l2_bearish_exit,warmup_gate"
SHPH,2026-01-16,07:00,1.6,-4.0,study,-1111,-1111,0,1,1,neutral:warmup_gate
STKH,2026-01-16,07:14,660.0,-3.4,study,-697,-621,76,1,1,neutral:l2_bearish_exit
STSS,2026-01-16,07:01,20.3,2.9,study,0,0,0,0,0,"neutral:warmup_gate,bid_stack_blocked"
TNMG,2026-01-16,07:00,1.2,-0.7,study,-481,-481,0,1,1,neutral:warmup_gate
VERO,2026-01-16,07:00,1.6,-9.1,study,6890,7363,473,4,4,"helped:l2_bearish_exit,warmup_gate,bid_stack_active,bid_stack_blocked"
TWG,2026-01-20,07:00,0.5,-1.1,study,0,0,0,0,0,none
PAVM,2026-01-21,07:00,0.7,-0.2,study,1586,1780,194,3,2,"helped:l2_bearish_exit,bid_stack_active,bid_stack_blocked"
MOVE,2026-01-23,07:00,0.6,13.6,study,-156,-918,-762,1,2,"hurt:l2_bearish_exit,bid_stack_active,bid_stack_blocked"
SLE,2026-01-23,07:00,0.7,1.5,study,-390,-390,0,1,1,neutral:bid_stack_active
ACON,2026-01-27,07:00,0.7,6.9,study,0,0,0,0,0,none
BCTX,2026-01-27,07:00,1.7,6.7,study,0,0,0,1,1,"neutral:warmup_gate,bid_stack_blocked"
FLYX,2026-01-27,07:00,5.7,1.0,study,0,0,0,0,0,none
GRI,2026-01-27,07:00,1.4,-3.9,study,0,0,0,0,0,none
HIND,2026-01-27,07:00,1.5,-0.6,study,260,-315,-575,2,2,"hurt:l2_bearish_exit,warmup_gate"
MOVE,2026-01-27,07:00,0.6,13.6,study,5502,3144,-2358,3,4,"hurt:l2_bearish_exit,warmup_gate"
RVSN,2026-01-27,07:00,1.8,0.6,study,0,0,0,0,0,none
SLE,2026-01-27,07:00,0.7,1.5,study,0,0,0,0,0,none
SXTP,2026-01-27,07:00,0.9,-4.8,study,-2078,-1300,778,2,2,none
BNAI,2026-01-28,07:00,3.3,-1.8,study,5610,-849,-6459,4,4,"hurt:l2_bearish_exit,bid_stack_blocked"
GRI,2026-01-28,07:00,1.4,-3.9,study,0,0,0,0,0,none
MLEC,2026-01-28,07:00,0.7,-21.7,study,0,0,0,0,0,none
SNSE,2026-01-28,07:00,0.7,-2.3,study,0,0,0,0,0,none
SXTP,2026-01-28,07:00,0.9,-4.8,study,0,0,0,0,0,none
APVO,2026-02-05,07:00,0.9,-3.4,study,0,0,0,0,0,none
BNAI,2026-02-05,07:00,3.3,0.1,study,160,160,0,2,2,neutral:bid_stack_blocked
GWAV,2026-02-05,07:00,0.8,-1.4,study,0,0,0,0,0,none
HIND,2026-02-05,07:00,1.5,-0.6,study,0,0,0,0,0,none
PAVM,2026-02-05,07:00,0.7,-0.2,study,0,0,0,0,0,none
RVSN,2026-02-05,07:00,1.8,0.6,study,0,0,0,0,0,none
SNSE,2026-02-05,07:00,0.7,-2.3,study,0,0,0,0,0,none
VERO,2026-02-05,07:00,1.6,-9.1,study,0,0,0,0,0,none
MNTS,2026-02-06,07:00,1.3,-7.3,study,862,617,-245,1,1,hurt:l2_bearish_exit
SMX,2026-02-09,07:00,,4.0,scanner30,0,0,0,0,0,none
AZI,2026-02-10,07:15,44.5,-1.0,scanner30,0,0,0,0,0,none
OSCR,2026-02-10,07:00,249.5,1.5,scanner30,0,0,0,0,0,none
UPWK,2026-02-10,09:28,121.5,-2.2,scanner30,-540,-540,0,1,1,neutral:bid_stack_blocked
ASBP,2026-02-11,07:45,2.3,3.6,scanner30,0,0,0,0,0,none
RPD,2026-02-11,09:30,57.9,0.8,scanner30,-186,1082,1268,2,1,"helped:l2_bearish_exit,bid_stack_blocked"
RVSN,2026-02-11,07:34,1.8,0.6,scanner30,-1010,-1010,0,1,1,none
FSLY,2026-02-12,07:26,142.9,10.4,scanner30,176,-1012,-1188,4,1,"hurt:warmup_gate,bid_stack_active,bid_stack_blocked"
JDZG,2026-02-12,08:34,2.8,-4.5,scanner30,0,0,0,0,0,none
NVCR,2026-02-12,09:22,94.3,-2.0,scanner30,-507,-525,-18,2,2,"neutral:l2_bearish_exit,warmup_gate,bid_stack_blocked"
ACON,2026-02-13,07:00,0.7,6.9,study,-214,-214,0,1,1,neutral:warmup_gate
ALMS,2026-02-13,07:00,66.3,0.1,study,-236,-236,0,2,2,neutral:bid_stack_blocked
ANPA,2026-02-13,07:00,12.5,2.3,study,0,0,0,0,0,none
CNVS,2026-02-13,09:04,15.0,1.0,scanner30,-731,-313,418,1,1,"helped:l2_bearish_exit,bid_stack_blocked"
CRSR,2026-02-13,08:41,46.6,4.4,scanner30,-1939,-2405,-466,6,6,"hurt:l2_bearish_exit,warmup_gate"
FLYX,2026-02-13,07:00,5.7,1.0,study,0,0,0,0,0,none
GWAV,2026-02-13,07:00,0.8,-1.4,study,0,0,0,0,0,none
HSDT,2026-02-13,09:01,30.1,11.8,scanner30,0,0,0,0,0,none
MCRB,2026-02-13,09:30,6.8,0.5,scanner30,113,463,350,2,1,none
MLEC,2026-02-13,07:00,0.7,-21.7,study,173,-2247,-2420,4,4,"hurt:warmup_gate,bid_stack_active,bid_stack_blocked"
NCI,2026-02-13,08:43,3.5,-14.9,scanner30,577,1012,435,2,2,helped:l2_bearish_exit
ROLR,2026-02-13,07:00,3.6,-6.2,study,0,0,0,0,0,none
WEN,2026-02-13,09:30,145.5,-2.5,scanner30,-660,-781,-121,3,3,"hurt:l2_bearish_exit,warmup_gate,bid_stack_blocked"
AAOI,2026-02-18,07:00,72.0,21.2,study,-415,0,415,1,0,"helped:bid_stack_active,bid_stack_blocked"
BATL,2026-02-18,07:00,7.2,212.9,study,-499,-499,0,1,1,none
SNSE,2026-02-18,07:00,0.7,-2.3,study,-125,122,247,2,2,"helped:l2_bearish_exit,warmup_gate"
ENVB,2026-02-19,07:00,0.5,-6.8,study,474,474,0,1,1,none
RELY,2026-02-19,07:00,173.5,0.2,study,-1090,314,1404,6,4,"helped:l2_bearish_exit,bid_stack_active,bid_stack_blocked"
AAOI,2026-02-27,09:30,72.0,21.3,study,-1950,-1496,454,3,2,"helped:warmup_gate,bid_stack_blocked"
AEVA,2026-02-27,09:30,26.7,11.2,study,0,0,0,0,0,none
AGIG,2026-02-27,08:00,8.7,-17.9,study,0,0,0,0,0,none
ANNA,2026-02-27,08:30,9.4,28.8,study,-1088,-1088,0,1,1,neutral:warmup_gate
ARLO,2026-02-27,09:20,103.9,-3.4,study,-692,483,1175,1,1,"helped:l2_bearish_exit,warmup_gate"
BATL,2026-02-27,08:00,7.2,196.0,study,1972,1972,0,3,3,"neutral:warmup_gate,bid_stack_blocked"
CDIO,2026-02-27,09:45,1.7,-23.5,study,791,791,0,2,2,"neutral:warmup_gate,bid_stack_blocked"
FIGS,2026-02-27,09:00,152.3,11.5,study,-1103,-609,494,2,4,"helped:l2_bearish_exit,warmup_gate"
HCTI,2026-02-27,08:00,0.1,-16.7,study,0,0,0,0,0,none
INDO,2026-02-27,08:00,9.5,16.3,study,-487,-487,0,2,2,neutral:warmup_gate
KORE,2026-02-27,08:00,7.6,-0.2,study,0,0,0,0,0,none
LBGJ,2026-02-27,09:00,16.7,-39.4,study,-110,401,511,2,2,"helped:l2_bearish_exit,warmup_gate"
MRM,2026-02-27,08:00,5.8,-0.7,study,-1562,-1562,0,2,2,none
NAMM,2026-02-27,08:00,6.8,2.5,study,0,0,0,0,0,neutral:bid_stack_blocked
NGNE,2026-02-27,08:00,5.0,-14.2,study,0,0,0,0,0,neutral:bid_stack_blocked
ONMD,2026-02-27,08:30,16.4,-28.4,study,-2146,-2146,0,5,5,neutral:bid_stack_blocked
PBYI,2026-02-27,09:30,38.9,24.0,study,21,-616,-637,2,2,hurt:l2_bearish_exit
RBNE,2026-02-27,08:00,2.2,-13.6,study,0,0,0,0,0,none
RUN,2026-02-27,09:30,228.3,-5.5,study,0,0,0,0,0,none
SND,2026-02-27,09:00,27.3,-21.0,study,0,0,0,0,0,none
STRZ,2026-02-27,08:00,16.7,2.8,study,94,71,-23,3,3,neutral:bid_stack_blocked
TMDE,2026-02-27,08:00,3.6,235.1,study,-707,-519,188,1,1,"helped:l2_bearish_exit,warmup_gate"
TSSI,2026-02-27,08:00,21.8,-2.9,study,-1116,-1116,0,1,1,none
XWEL,2026-02-27,08:30,4.3,6.7,study,-2949,-2487,462,4,4,helped:l2_bearish_exit
