symbol,date,sim_start,sim_end,fund_gap_pct,fund_float_shares,fund_price_at_sim_start,new_high_count_30m,new_high_cadence_avg_sec,new_high_cadence_stdev_sec,pullback_count_30m,pullback_depth_avg_pct,pullback_depth_max_pct,pullback_recovery_avg_sec,vol_spike_count_30m,vol_total_30m,vol_first_5m,vol_last_5m_of_30,vol_decay_ratio,green_bar_ratio_30m,max_consecutive_green,max_consecutive_red,price_range_30m_pct,upper_wick_ratio_avg,upper_wick_ratio_last_10m,body_ratio_avg,body_ratio_last_10m,pct_bars_above_vwap_30m,vwap_cross_count_30m,max_vwap_distance_pct,price_at_5m,price_at_10m,price_at_15m,price_at_30m,price_at_60m,high_at_30m,high_at_60m,low_at_30m,low_at_60m,total_trades,wins,losses,net_pnl,avg_r,win_rate,avg_hold_time_sec,total_left_on_table_pct_avg,exit_mode
AAOI,2026-02-27,09:30,12:00,52.48649655429318,71.693048,65.93,8,128.6,122.1,5,6.41,9.89,624.0,0,7242429,2379623,612606,0.257,0.53,6,6,18.61,0.328,0.525,0.46,0.392,0.83,1,8.79,72.1999,76.5377,77.3239,70.47,77.18,77.77,78.5,65.568,65.568,3,0,3,-1950.35,-0.65,0.0,20,100.0,signal
ACCL,2026-01-16,04:00,12:00,-4.1666666666666705,2.926923,7.1,6,132.0,130.1,2,19.41,19.9,270.0,3,2850697,272321,226604,0.832,0.5,6,3,79.69,0.252,0.195,0.47,0.458,0.4,2,20.2,6.89,10.22,9.74,7.9,6.86,11.5,11.5,6.4,6.4,2,0,2,-1071.85,-0.54,0.0,90,50.0,signal
ACON,2026-01-08,07:00,12:00,-1.492537313432837,0.671344,7.64,4,280.0,283.5,2,9.14,9.63,1140.0,4,4420273,1298425,378706,0.292,0.53,4,3,18.76,0.374,0.314,0.321,0.305,1.0,0,9.57,7.89,8.38,8.47,8.2,8.9049,8.8,9.36,7.41,7.41,3,0,3,-2121.61,-0.71,0.0,20,100.0,signal
ALMS,2026-01-06,07:00,12:00,-2.8018679119412937,66.268932,11.74,0,0.0,0.0,0,0.0,0.0,0.0,1,4644071,1241696,1492763,1.202,0.43,2,6,104.99,0.258,0.212,0.445,0.368,0.73,1,32.1,15.49,15.49,15.49,15.49,16.0507,,19.29,,10.0,4,3,1,3406.64,0.85,75.0,105,79.6,signal
ANNA,2026-02-27,08:30,12:00,-18.208955223880594,9.387147,3.93,6,192.0,130.1,2,2.62,3.97,390.0,8,266095,2673,49285,18.438,0.4,4,13,68.33,0.214,0.253,0.508,0.404,0.6,1,17.85,3.9,3.93,4.06,3.1381,3.5,5.05,5.05,3.0,2.84,1,0,1,-1088.07,-1.09,0.0,0,100.0,signal
ANPA,2026-01-09,07:00,12:00,-16.38281250000001,12.5,32.0,1,0.0,0.0,0,0.0,0.0,0.0,11,212154,182,49690,273.022,0.5,3,5,136.2,0.203,0.186,0.416,0.296,0.67,7,30.73,32.0,32.0,32.0,32.02,39.87,32.0,55.67,32.0,30.0,2,1,1,2088.42,1.04,50.0,150,19.6,signal
APVO,2026-01-09,07:00,12:00,-2.1088435374149577,0.935437,9.2,1,0.0,0.0,0,0.0,0.0,0.0,5,3941648,19,230280,12120.0,0.57,8,3,58.11,0.312,0.381,0.436,0.301,0.27,5,13.22,9.19,9.2,9.2,9.2,9.42,9.2,9.2,9.19,9.19,1,1,0,7622.28,7.62,100.0,240,9.4,signal
ARLO,2026-02-27,09:20,12:00,27.471636952998384,102.108986,14.9159,12,130.9,139.0,4,3.72,5.3,615.0,6,969971,4330,131543,30.379,0.67,8,3,9.24,0.26,0.231,0.449,0.396,0.83,6,4.74,14.9,14.74,15.33,15.4399,15.9776,15.84,16.15,14.5,14.5,1,0,1,-691.56,-0.71,0.0,180,100.0,signal
AZI,2026-01-06,07:27,12:00,0.8310249307479163,44.450443,2.9,1,0.0,0.0,1,29.55,29.55,5040.0,0,2397513,1247446,38891,0.031,0.53,7,4,24.0,0.192,0.117,0.481,0.325,0.23,1,11.16,2.84,2.54,2.56,2.58,2.82,3.1,3.11,2.5,2.17,4,1,3,782.5,0.2,25.0,90,25.0,signal
BATL,2026-02-27,08:00,12:00,33.33734939759035,7.227064,4.26,17,86.2,53.5,6,4.57,8.36,170.0,8,7198728,110632,2900331,26.216,0.63,5,4,47.36,0.163,0.243,0.598,0.554,0.83,2,12.75,4.5291,4.6,4.9897,5.09,4.8912,6.13,6.13,4.16,4.16,3,3,0,1972.29,0.66,100.0,40,77.7,signal
BCTX,2026-01-27,07:00,12:00,-5.75,1.665618,4.6,7,280.0,253.6,3,1.55,1.71,340.0,9,589835,3086,26099,8.457,0.57,6,6,54.62,0.219,0.25,0.501,0.375,0.5,4,13.06,4.61,4.68,4.75,4.84,4.43,4.8,6.03,4.6,3.9,1,1,0,0.0,0.0,100.0,0,100.0,signal
BNAI,2026-02-05,07:00,12:00,29.912247233880183,3.312113,29.3,5,195.0,133.0,1,11.07,11.07,360.0,2,1743352,219934,115576,0.526,0.5,4,4,28.61,0.308,0.274,0.466,0.447,1.0,0,20.98,31.85,34.22,33.97,32.85,31.78,37.0,37.0,28.77,27.57,2,1,1,160.21,0.08,50.0,0,92.3,signal
CDIO,2026-02-27,09:45,12:00,50.574712643678176,1.700473,6.39,3,210.0,212.1,1,7.8,7.8,360.0,1,4129655,887603,217482,0.245,0.43,4,9,19.19,0.271,0.298,0.436,0.344,0.33,3,8.62,6.8,6.97,6.87,6.54,6.25,7.39,7.39,6.2,6.2,2,1,1,791.46,0.4,50.0,30,6.9,signal
ELAB,2026-01-06,07:00,12:00,-4.769841269841273,0.185057,8.4,0,0.0,0.0,0,0.0,0.0,0.0,4,2131620,256936,511943,1.992,0.47,4,4,59.13,0.279,0.285,0.483,0.624,0.17,2,18.01,7.86,7.86,7.86,7.86,7.86,,,,,0,0,0,0.0,0.0,0.0,0,0.0,signal
FEED,2026-01-09,07:29,12:00,-5.265486725663707,0.848146,3.22,1,0.0,0.0,0,0.0,0.0,0.0,2,1822009,856353,92794,0.108,0.4,2,3,40.71,0.196,0.192,0.569,0.658,0.07,1,17.31,2.89,2.89,2.83,2.69,2.41,3.56,3.56,2.53,2.32,0,0,0,0.0,0.0,0.0,0,0.0,signal
FIGS,2026-02-27,09:00,12:00,25.340817963111466,152.098637,14.0,8,197.1,157.7,4,2.27,4.53,420.0,10,1345243,10866,1108151,101.983,0.57,4,2,6.94,0.107,0.114,0.537,0.417,0.53,6,3.85,13.89,14.12,14.29,14.44,14.855,14.77,15.57,13.84,13.84,2,0,2,-1102.58,-0.61,0.0,150,100.0,signal
FLYX,2026-01-08,07:00,12:00,-8.256880733944962,5.72621,3.14,1,0.0,0.0,1,6.05,6.05,3300.0,11,410818,10,381257,38125.7,0.8,16,2,44.06,0.196,0.254,0.642,0.727,0.43,12,8.43,3.12,3.05,3.05,3.04,3.73,3.14,3.14,3.04,3.03,1,1,0,473.2,0.47,100.0,180,0.0,signal
GRI,2026-01-28,07:00,12:00,0.0,1.445029,4.9,1,0.0,0.0,1,8.16,8.16,5820.0,11,14006,267,3067,11.487,0.67,5,3,7.6,0.138,0.06,0.647,0.724,0.23,9,3.04,4.86,4.8,4.79,4.78,4.8,4.9,4.9,4.7,4.69,0,0,0,0.0,0.0,0.0,0,0.0,signal
GWAV,2026-01-16,07:00,12:00,-0.5102040816326535,0.798395,5.37,5,165.0,141.8,3,2.93,4.59,140.0,6,2650390,2760,115142,41.718,0.5,10,5,57.28,0.273,0.173,0.512,0.445,0.33,1,17.14,5.41,7.32,6.12,5.65,5.13,8.43,8.43,5.36,5.12,2,1,1,6734.82,3.37,50.0,390,67.8,signal
HIND,2026-01-27,07:00,12:00,0.4464285714285751,1.543882,3.15,0,0.0,0.0,0,0.0,0.0,0.0,5,24355613,2507155,1704490,0.68,0.5,7,6,153.71,0.207,0.186,0.45,0.422,0.33,6,24.73,3.15,3.15,3.15,3.15,4.58,,3.15,,3.15,2,2,0,1621.05,0.81,100.0,180,56.7,signal
IBIO,2026-01-06,07:46,12:00,-8.794788273615636,27.058317,1.96,1,0.0,0.0,1,9.07,9.07,2340.0,6,192156,24901,76907,3.089,0.7,7,2,16.41,0.204,0.193,0.529,0.451,0.9,2,5.89,2.0,2.0,1.925,2.04,2.26,2.05,2.22,1.8641,1.8641,2,0,2,-1444.36,-0.72,0.0,90,50.0,signal
LBGJ,2026-02-27,09:00,12:00,-81.08823529411765,16.662285,1.05,5,75.0,30.0,2,11.5,18.46,90.0,7,6567743,1392707,296183,0.213,0.47,3,4,71.83,0.237,0.264,0.456,0.306,0.23,5,26.29,1.47,1.08,0.95,0.769,0.2359,1.51,1.51,0.8788,0.2327,2,1,1,-110.29,-0.06,50.0,90,98.7,signal
LCFY,2026-01-16,07:00,12:00,0.12711864406780143,1.425571,3.32,0,0.0,0.0,0,0.0,0.0,0.0,2,5863204,2090914,342791,0.164,0.5,3,3,145.0,0.212,0.25,0.548,0.615,0.07,1,36.22,6.97,6.97,6.97,6.97,6.97,,,,,2,0,2,-627.36,-0.31,0.0,90,100.0,signal
MLEC,2026-02-13,07:00,12:00,-13.218015665796345,0.726118,6.0,0,0.0,0.0,0,0.0,0.0,0.0,7,8244860,255049,2030687,7.962,0.57,5,2,158.0,0.354,0.34,0.366,0.402,0.83,4,32.21,6.05,6.05,6.05,6.05,6.05,,,,,4,1,3,173.28,0.04,25.0,120,93.3,signal
MOVE,2026-01-23,07:00,12:00,-1.3466550825369188,0.610088,19.04,2,120.0,0.0,1,40.36,40.36,7320.0,3,1601953,444890,140988,0.317,0.53,4,3,18.21,0.247,0.256,0.514,0.506,1.0,0,19.09,18.5,18.34,17.91,18.2,17.1901,20.12,20.12,17.02,16.06,1,0,1,-156.47,-0.16,0.0,180,100.0,signal
MRM,2026-02-27,08:00,12:00,2.199322221453769,5.821999,1.487,5,135.0,113.6,2,8.83,11.67,240.0,6,10117994,1154821,510278,0.442,0.47,3,3,34.75,0.337,0.286,0.452,0.485,0.3,4,8.88,1.5982,1.74,1.77,1.6,1.57,1.9,1.9,1.41,1.41,2,0,2,-1416.56,-0.71,0.0,150,50.0,signal
ONMD,2026-02-27,08:30,12:00,70.11624610150268,16.408374,0.7054,5,240.0,229.8,2,16.51,32.08,1410.0,4,18868783,1283327,1272260,0.991,0.53,5,3,50.28,0.25,0.119,0.497,0.572,0.33,4,7.92,0.6987,0.7137,0.7137,1.0099,1.0997,1.05,1.1,0.6987,0.6987,5,0,5,-2146.26,-0.43,0.0,48,100.0,signal
OPTX,2026-01-06,07:00,12:00,-3.91830559757943,5.982184,3.0,0,0.0,0.0,0,0.0,0.0,0.0,5,3427597,8664,83934,9.688,0.6,6,5,33.0,0.317,0.393,0.489,0.489,0.27,7,11.72,3.0,3.0,3.0,3.0,2.98,,3.0,,3.0,2,1,1,-78.39,-0.04,50.0,270,95.5,signal
PAVM,2026-01-21,07:00,12:00,-1.175318315377091,0.72693,6.16,1,0.0,0.0,0,0.0,0.0,0.0,13,2671190,572,2559977,4475.484,0.67,7,4,157.63,0.299,0.321,0.421,0.455,0.57,7,20.9,6.21,6.21,6.21,6.21,7.0986,6.16,7.24,6.16,6.16,3,1,2,-909.96,-0.37,33.3,160,82.2,signal
ROLR,2026-01-14,07:00,12:00,-3.3039647577092586,3.618155,3.54,3,540.0,169.7,1,2.75,2.75,660.0,6,2208175,3087,2171459,703.42,0.73,8,3,174.29,0.177,0.096,0.548,0.604,0.93,2,15.8,3.65,3.65,3.66,3.66,3.68,3.66,3.66,3.54,3.54,5,2,3,1413.16,0.28,40.0,624,97.6,signal
RVSN,2026-02-05,07:00,12:00,-0.832342449464926,1.772949,4.14,5,240.0,213.5,2,2.68,3.52,720.0,7,9923,580,1437,2.478,0.83,20,3,11.5,0.059,0.097,0.81,0.903,0.83,2,4.36,4.3,4.37,4.37,4.33,4.31,4.37,4.43,4.11,4.11,1,0,1,-1555.4,-1.56,0.0,3180,100.0,signal
SHPH,2026-01-09,08:04,12:00,-3.6697247706422047,1.586883,1.99,2,60.0,0.0,2,6.2,9.48,2580.0,5,80491,57928,3121,0.054,0.73,12,2,10.47,0.178,0.213,0.678,0.679,0.8,12,7.92,1.93,1.94,1.99,1.9852,1.9664,2.11,2.11,1.91,1.91,1,0,1,-1032.75,-1.03,0.0,60,0.0,signal
SLE,2026-01-23,07:00,12:00,8.71944444444444,0.656246,6.31,0,0.0,0.0,0,0.0,0.0,0.0,6,3499119,78858,191904,2.434,0.53,5,5,82.25,0.32,0.244,0.354,0.347,0.27,5,18.95,7.5,7.5,7.5,7.5,7.5,,,,,1,0,1,-389.74,-0.39,0.0,180,100.0,signal
SNSE,2026-02-18,07:00,12:00,2.514890800794181,0.858194,9.05,0,0.0,0.0,0,0.0,0.0,0.0,4,2897423,471003,247315,0.525,0.57,4,3,327.17,0.335,0.388,0.366,0.283,0.67,6,51.91,9.05,9.05,9.05,9.05,8.65,,9.05,,9.05,2,1,1,87.63,0.04,50.0,60,92.5,signal
STKH,2026-01-16,07:14,12:00,1.4184397163120581,659.966301,2.57,1,0.0,0.0,0,0.0,0.0,0.0,3,460392,385869,2918,0.008,0.57,8,4,88.24,0.281,0.325,0.46,0.4,0.03,1,30.29,1.88,1.8,1.85,1.9,3.11,3.2,3.2,1.7,1.7,1,0,1,-696.9,-0.7,0.0,60,0.0,signal
STSS,2026-01-16,07:01,12:00,-5.277777777777777,20.332709,2.35,1,0.0,0.0,0,0.0,0.0,0.0,3,238414,98443,4186,0.043,0.57,4,4,11.11,0.184,0.048,0.694,0.647,0.07,3,7.36,2.23,2.21,2.26,2.17,2.24,2.4,2.4,2.18,2.16,0,0,0,0.0,0.0,0.0,0,0.0,signal
SXTP,2026-01-28,07:00,12:00,5.067567567567564,0.937139,5.18,2,180.0,0.0,1,7.94,7.94,3660.0,8,877976,341,626358,1836.827,0.7,9,2,28.81,0.247,0.375,0.594,0.397,0.03,2,8.05,5.12,5.12,5.12,5.07,5.17,5.29,5.29,5.06,5.06,0,0,0,0.0,0.0,0.0,0,0.0,signal
TNMG,2026-01-16,07:00,12:00,-5.60436137071651,1.150951,3.71,3,150.0,127.3,1,15.48,15.48,300.0,0,4984456,1522239,138154,0.091,0.3,2,6,71.66,0.221,0.232,0.453,0.546,0.2,3,30.74,4.01,3.4,3.12,2.63,2.48,4.24,4.24,2.47,2.47,1,0,1,-480.75,-0.48,0.0,60,100.0,signal
VERO,2026-01-16,07:00,12:00,-9.06779661016949,1.624372,3.23,15,111.4,144.8,8,11.88,37.64,442.0,4,16625860,1322698,3835278,2.9,0.7,7,2,92.24,0.317,0.323,0.488,0.505,1.0,0,55.82,3.56,3.47,4.025,5.66,5.51,6.19,6.35,3.22,3.22,4,3,1,6889.82,1.72,75.0,75,89.9,signal
